"","rdkit_graph","rdkit_broad","moa","target","disease_area","indication","moa_v1"
"809","COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1","COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1","Aurora kinase inhibitor","AURKA|AURKB","","","Aurora kinase inhibitor"
"810","COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1","COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1","PI3K inhibitor","MTOR|PIK3CG","","","pi3k_inhibitor"
"811","O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl","O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl","p38 MAPK inhibitor","MAPK11|MAPK12|MAPK14","","","mapk_inhibitor"
"812","COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)O)c2)c(OC)c1","COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)O)c2)c(OC)c1","cell cycle inhibitor|PLK inhibitor","PLK1","","","plk_inhibitor"
"813","C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](O)[C@H]1C(C)(C)CC[C@H](O)[C@@]12C","C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](O)[C@H]1C(C)(C)CC[C@H](O)[C@@]12C","adenylyl cyclase activator","ADCY2|ADCY5|GNAS","","","adenylyl cyclase activator"
"814","CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21","CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21","HMGCR inhibitor","HMGCR|SLCO1B1","endocrinology|cardiology","hypercholesterolemia|myocardial infarction|hyperlipidemia","HMGCR inhibitor"
"815","CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O","CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1","retinoid receptor agonist","RARA|RARB|RARG","dermatology","acne vulgaris (AV)","retinoid_agonist_ligand"
"816","COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1","COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1","tubulin polymerization inhibitor","TUBB","infectious disease","gastrointestinal parasites|gastrointestinal roundworms","microtubule_inhibitor"
"817","CN1CC[C@@]2(C)c3cc(O)ccc3N(C)[C@@H]12","CN1CC[C@@]2(C)c3cc(O)ccc3N(C)[C@@H]12","acetylcholinesterase inhibitor","OPRD1|OPRM1","","","acetylcholinesterase_inhibitor"
"818","C[C@]12N[C@H](Cc3ccccc31)c1ccccc12","C[C@]12N[C@H](Cc3ccccc31)c1ccccc12","glutamate receptor antagonist","GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D","","","glutamate_antagonist"
"819","O=C1/C(=C/c2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5","O=C1/C(=C/c2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5","opioid receptor antagonist","OPRD1|OPRK1|OPRM1","","","opioid_receptor_antagonist"
"820","N[C@@H]1C[C@H]1c1ccccc1","N[C@H]1C[C@@H]1c1ccccc1","monoamine oxidase inhibitor","KDM1A|MAOA|MAOB","neurology/psychiatry","depression","monoamine oxidase inhibitor"
"821","CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O","CCCC[C@H]1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O","cyclooxygenase inhibitor","","","","cox inhibitor"
"822","NCCc1cc(O)c(O)cc1O","NCCc1cc(O)c(O)cc1O","neurotoxin","","","","neurotoxin"
"823","Oc1cc2c(cc1O)[C@@H](c1ccccc1)CNCC2","Oc1cc2c(cc1O)[C@H](c1ccccc1)CNCC2","dopamine receptor agonist","CALY|DRD1|DRD5","","","dopamine_receptor_agonist"
"824","CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21","CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21","dopamine receptor antagonist","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALM1|CHRM1|CHRM3|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|HTR7|KCNH2|ORM1|ORM2|SMPD1|TRPC5","neurology/psychiatry|gastroenterology|hematology|infectious disease","schizophrenia|nausea|vomiting|acute intermittent porphyria (AIP)|tetanus","dopamine_antagonist"
"825","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(N)C(O)C(C)O1","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1","topoisomerase inhibitor","TOP2A","hematologic malignancy|oncology","acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma","dna_rna_damage"
"826","CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C\[C@H](OC)C([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](O)[C@H](C)[C@@H](C(C)C)O2)OC1=O","CO/C1=C\C(C)=C/[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](O)[C@H](C)[C@@H](C(C)C)O2)OC1=O","ATPase inhibitor","","","","atp_synthesis_inhibitor"
"827","C[C@H]1CCC/C=C/C2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1","C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1","protein synthesis inhibitor","ARF1|CYTH2","","","protein_synthesis_inhibitor"
"828","O=C1[C@@H](Cc2ccc(O)cc2)N2C(=O)CCN(C(=O)NCc3ccccc3)[C@@H]2CN1Cc1cccc2ccccc12","O=C1[C@H](Cc2ccc(O)cc2)N2C(=O)CCN(C(=O)NCc3ccccc3)[C@H]2CN1Cc1cccc2ccccc12","beta-catenin inhibitor","CTNNB1","","","beta-catenin inhibitor"
"829","CN(C)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1","CN(C)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1","HDAC inhibitor","HDAC8","","","hdac_inhibitor"
"830","C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O","C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O","vitamin D receptor agonist","VDR","endocrinology","hyperparathyroidism","vitamin_d_agonist"
"831","OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O","OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O","glycolysis inhibitor","SLC2A1|SLC2A2|SLC2A3|SLC2A4","","","glycolysis inhibitor"
"832","COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1","COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@@H]1c1cccc([N+](=O)[O-])c1","calmodulin antagonist","ADORA3","","","calmodulin antagonist"
"833","CC(=O)Oc1ccccc1C(=O)Oc1cccc(CO[N+](=O)[O-])c1","CC(=O)Oc1ccccc1C(=O)Oc1cccc(CO[N+](=O)[O-])c1","cyclooxygenase inhibitor","PTGS2","","","cox inhibitor"
"834","c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1","c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1","CHK inhibitor|cytochrome P450 activator|indoleamine 2,3-dioxygenase inhibitor","AR|HIF1A|IFNG|PI3","","","chk_inhibitor"
"835","COc1cccc(-c2cc(NCc3ccc4c(c3)OCO4)nc(N)n2)c1","COc1cccc(-c2cc(NCc3ccc4c(c3)OCO4)nc(N)n2)c1","WNT agonist","","","","WNT agonist"
"836","Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1","Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1","cyclooxygenase inhibitor","CA12|PDPK1|PTGS2","rheumatology|endocrinology","osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD)","cox inhibitor"
"837","CC1=CC(=O)c2c(O)cccc2C1=O","CC1=CC(=O)c2c(O)cccc2C1=O","anticancer agent","","","","anticancer"
"838","COc1cc([C@@H]2c3cc4c(cc3[C@@H](OC3OC5COC(C)OC5C(O)C3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O","COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O","topoisomerase inhibitor","TOP2A|TOP2B","oncology","non-small cell lung cancer (NSCLC)","dna_rna_damage"
"839","COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O","COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O","HSP inhibitor","HSP90AA1","","","HSP inhibitor"
"840","COc1ccc(Nc2ncnc3ccc(OC)cc23)cc1","COc1ccc(Nc2ncnc3ccc(OC)cc23)cc1","glutamate receptor antagonist","GRM1","","","glutamate_antagonist"
"841","CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1","CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1","estrogen receptor antagonist|selective estrogen receptor modulator (SERM)","EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ","oncology","breast cancer","estrogen_antagonist"
"842","CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1C2=O","CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)[C@@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@H]1C2=O","bacterial 30S ribosomal subunit inhibitor","","infectious disease","skin infections|pneumonia|intra-abdominal infections","antibacterial"
"843","NC(=O)C1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3C(=O)[C@]2(O)C1=O","NC(=O)[C@@H]1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)[C@@H]3C(=O)[C@]2(O)C1=O","matrix metalloprotease inhibitor","","","","matrix metalloprotease inhibitor"
"844","O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12","O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12","estrogen receptor antagonist|selective estrogen receptor modulator (SERM)","ESR1|ESR2","orthopedics|oncology","osteoporosis|breast cancer","estrogen_antagonist"
"845","CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1","CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1","estrogen receptor agonist","ESR1|ESR2|ESRRB|ESRRG","","","estrogen_agonist"
"846","C[C@]12CC[C@@H]3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O","C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S@@](=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O","estrogen receptor antagonist","ESR1|ESR2|GPER1","oncology","breast cancer","estrogen_antagonist"
"847","O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12","O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12","tyrosine kinase inhibitor","CFTR|ESR1|ESR2|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5","","","tyrosine_kinase_inhibitor"
"848","COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O","COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O","Aurora kinase inhibitor","AURKA","","","Aurora kinase inhibitor"
"849","O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1","O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1","Aurora kinase inhibitor","AURKA|AURKB|AURKC","","","Aurora kinase inhibitor"
"850","CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2","CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2","tubulin polymerization inhibitor","TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8","oncology","non-small cell lung cancer (NSCLC)","microtubule_inhibitor"
"851","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3OC1CC(N)C(O)C(C)O1","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1","RNA synthesis inhibitor|topoisomerase inhibitor","TOP2A|TOP2B","hematologic malignancy","acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)","dna_rna_damage"
"852","CC[C@]1(O)CC2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1","CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1","tubulin polymerization inhibitor","TUBA4A|TUBB","hematologic malignancy","acute lymphoblastic leukemia (ALL)","microtubule_inhibitor"
"853","CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12","CC[C@H](NC(C)C)[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12","adrenergic receptor agonist","ADRB2","pulmonary","asthma","adrenergic_agonist"
"854","C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O","C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O","ATPase inhibitor","ATP1A1","cardiology","congestive heart failure|atrial fibrillation (AF)","atp_synthesis_inhibitor"
"855","Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1","Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1","SYK inhibitor","ATP5A1|ATP5B|ATP5C1|IRF3","","","syk_inhibitor"
"856","CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O","C[C@@H]1O[C@@H](O[C@@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O","ATPase inhibitor","ATP1A1","cardiology","hypertension|cardiac arrythmia","atp_synthesis_inhibitor"
"857","Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1","Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1","SYK inhibitor","ATP5A1|ATP5B|ATP5C1|IRF3","","","syk_inhibitor"
"858","C=C1C(=O)O[C@@H]2[C@H]1CCC(C)=CCC[C@@]1(C)O[C@@H]21","C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21","NFkB pathway inhibitor","","","","nfkb_inhibitor"
"859","CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O","CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O","NFkB pathway inhibitor","IKBKB|PRDX5|TRPA1","rheumatology","rheumatoid arthritis","nfkb_inhibitor"
"860","O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12","O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12","adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor","ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|SLC6A4","neurology/psychiatry","depression","adrenergic_receptor_antagonist"
"861","O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12","O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12","adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor","ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|SLC6A4","neurology/psychiatry","depression","serotonin receptor antagonist"
"862","O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12","O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12","DNA dependent protein kinase inhibitor|mTOR inhibitor|phosphodiesterase inhibitor|PI3K inhibitor|PLK inhibitor","AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIM1|PLK1|PRKCA|PRKDC|ROCK1|RPS6KB1|SGK1","","","mtor_inhibitor"
"863","O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12","O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12","DNA dependent protein kinase inhibitor|mTOR inhibitor|phosphodiesterase inhibitor|PI3K inhibitor|PLK inhibitor","AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIM1|PLK1|PRKCA|PRKDC|ROCK1|RPS6KB1|SGK1","","","plk_inhibitor"
"864","O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12","O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12","DNA dependent protein kinase inhibitor|mTOR inhibitor|phosphodiesterase inhibitor|PI3K inhibitor|PLK inhibitor","AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIM1|PLK1|PRKCA|PRKDC|ROCK1|RPS6KB1|SGK1","","","pi3k_inhibitor"
"865","O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12","O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12","DNA dependent protein kinase inhibitor|mTOR inhibitor|PI3K inhibitor","PRKDC","","","mtor_inhibitor"
"866","O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12","O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12","DNA dependent protein kinase inhibitor|mTOR inhibitor|PI3K inhibitor","PRKDC","","","pi3k_inhibitor"
"867","Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1","Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1","mTOR inhibitor|PI3K inhibitor","MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC","","","mtor_inhibitor"
"868","Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21","Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21","mTOR inhibitor|PI3K inhibitor","ATR|MTOR|PIK3CA|PIK3CD|PIK3CG","","","pi3k_inhibitor"
"869","Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1","Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1","mTOR inhibitor|PI3K inhibitor","MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC","","","mtor_inhibitor"
"870","Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21","Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21","mTOR inhibitor|PI3K inhibitor","ATR|MTOR|PIK3CA|PIK3CD|PIK3CG","","","pi3k_inhibitor"
"871","CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1","CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1","cdk_inhibitor","CDK1|CDK2|CDK5","","","cdk_inhibitor"
"872","CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1","CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1","tyrosine_kinase_inhibitor","CDK1|CDK2|CDK5","","","tyrosine_kinase_inhibitor"
"873","O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O","O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O","CDK inhibitor|glycogen synthase kinase inhibitor","CDK1|CDK2|CDK5|CDK5R1|GSK3B","","","cdk_inhibitor"
"874","O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=NO","O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O","CDK inhibitor|glycogen synthase kinase inhibitor","CDK1|CDK2|CDK5|CDK5R1|GSK3B","","","glycogen_synthase_kinase_inhibitor"
"875","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1","CDK inhibitor|glycogen synthase kinase inhibitor","CCNB1|CDK1|CDK5|GSK3B","","","cdk_inhibitor"
"876","O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O","O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O","CDK inhibitor|glycogen synthase kinase inhibitor","CDK1|CDK2|CDK5|CDK5R1|GSK3B","","","glycogen_synthase_kinase_inhibitor"
"877","O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=NO","O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O","CDK inhibitor|glycogen synthase kinase inhibitor","CDK1|CDK2|CDK5|CDK5R1|GSK3B","","","cdk_inhibitor"
"878","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1","CDK inhibitor|glycogen synthase kinase inhibitor","CCNB1|CDK1|CDK5|GSK3B","","","glycogen_synthase_kinase_inhibitor"
"879","Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F","Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F","MAP kinase inhibitor|MEK inhibitor","MAP2K1|MAP2K2","","","mek_inhibitor"
"880","Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F","Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F","MAP kinase inhibitor|MEK inhibitor","MAP2K1|MAP2K2","","","mapk_inhibitor"
"881","CC(=O)NCCCCCCNC(C)=O","CC(=O)NCCCCCCNC(C)=O","AKT inhibitor|differentiation inducer|NFKB pathway inhibitor","AKT1","","","akt_inhibitor"
"882","CC(=O)NCCCCCCNC(C)=O","CC(=O)NCCCCCCNC(C)=O","AKT inhibitor|differentiation inducer|NFKB pathway inhibitor","AKT1","","","nfkb_inhibitor"
"883","O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O","O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O","IKK inhibitor|NFkB pathway inhibitor","IKBKB","","","ikk_inhibitor"
"884","O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O","O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O","IKK inhibitor|NFkB pathway inhibitor","IKBKB","","","nfkb_inhibitor"
"885","CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O","CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O","NFkB pathway inhibitor|proteasome inhibitor","PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA","hematologic malignancy","multiple myeloma|mantle cell lymphoma (MCL)","proteasome_inhibitor"
